"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1754847345467138530","Wed Feb 07 11:56:50 +0000 2024","1","@kukismanis28 @kegblgnunfaedh Ini contoh tawaran dari perusahaan ke SMK se Lampung.. tapi ya minat siswanya yang kurang.. bahkan dari siswa selampung biasanya hanya beberapa Puluh anak aja yang minat sisanya cari kerja enak dan langsung gaji besar.. ya Gen Z emang beda https://t.co/kHkuprxKe9","1755198931993231377","https://pbs.twimg.com/media/GFu4HlXaYAAPp6b.jpg","kukismanis28","in","Tanjung Karang Barat","0","1","0","https://twitter.com/prasidha_/status/1755198931993231377","368762538","prasidha_"
"1755184989518573755","Wed Feb 07 11:01:25 +0000 2024","0","klen para gen z tuh kalo misalnya ada jobdesk ga tertulis (re: cuci piring abis makan sendiri cuci gelas bekas minum sendiri) gitu tuh kudu dijembrengin gitu kah kalo di dunia kerja? I genuinely asking aja ni btw","1755184989518573755","","","in","","0","2","0","https://twitter.com/shiinamons/status/1755184989518573755","1498447130385842177","shiinamons"
"1755157059711176809","Wed Feb 07 09:10:26 +0000 2024","1","Jumlah pengangguran di Indonesia mencapai 7 86 juta dari total angkatan kerja mencapai 147 71 juta orang. Angka pengangguran itu didominasi oleh penduduk usia 15-24 tahun atau yang tergolong gen Z #R12KBFM https://t.co/mSK4lirDeC.","1755157059711176809","","","in","Malang, Indonesia","0","0","0","https://twitter.com/kalimaya_malang/status/1755157059711176809","280794125","kalimaya_malang"
"1753228398493909447","Sat Feb 03 12:55:44 +0000 2024","0","@DobbyisFairy @namakuliliy @terlalujujurr orang² yg ikut kampanye itu emang kader partai pendukung dan simpatisan die hard silent majority gak ikut kampanye milih kerja 50% lebih DPT adalah milenial dan Gen Z karena itu ketiga paslon adu gimmick di sosmed","1753764203637485604","","GaiusJArminius","in","404 not found","0","0","0","https://twitter.com/GaiusJArminius/status/1753764203637485604","877422298822713344","GaiusJArminius"
"1753745497746239576","Sat Feb 03 11:44:34 +0000 2024","0","Lalu Rendy emosi lah dulu bisa ya waktu itu mz belum kerja disini kalik karna blm cukup umur. Dari pas itu kita udh makan donat di Union satuan awkwkwkwk ya Allah jejangan mz mznya gen Z","1753746293963546631","","rirrikhrn","in","Indonesia","0","0","0","https://twitter.com/rirrikhrn/status/1753746293963546631","48278356","rirrikhrn"
"1753741735350648965","Sat Feb 03 11:26:27 +0000 2024","0","gen z kaget di dunia kerja soalnya di the sims bosnya gak pernah marah marah","1753741735350648965","","","in","Unknown","0","0","0","https://twitter.com/pratamarst/status/1753741735350648965","157212522","pratamarst"
"1753693555263222144","Sat Feb 03 10:12:40 +0000 2024","2","@worksfess Ngerekrut gen z yg diluar nalar selain adu boba hp sesma gen z nya kalo kerja udah kayak paling menderita se kaum nya. Tidak perusahaan mengikuti mau mu! Skip..probation mu cukup 3 bulan saja.","1753723165929550317","","worksfess","in","DKI Jakarta, Indonesia","0","0","0","https://twitter.com/birridbirrid/status/1753723165929550317","3006279013","birridbirrid"
"1753716848846414221","Sat Feb 03 09:47:33 +0000 2024","0","5 Kolaborasi Milenial dan Gen Z di Tempat Kerja Jangan Saling Senggol https://t.co/CNebgm5pf4","1753716848846414221","","","in","","0","0","0","https://twitter.com/IDNTimesLife/status/1753716848846414221","1616334886759174144","IDNTimesLife"
"1753628024870998074","Sat Feb 03 09:37:28 +0000 2024","1","@gadingnstn gen z di 2024 rentang umurnya dari 12 - 27 tahun ya kali anak sd disuruh kerja ","1753714308792643753","","gadingnstn","in","","0","0","0","https://twitter.com/sudo000/status/1753714308792643753","1027698398","sudo000"
"1753680192021942431","Sat Feb 03 07:35:38 +0000 2024","4","Bukan lagi buat menghindari fear beberapa manusia sudah evolve ke hope. Manusia beragama buat hope agar tidak terpuruk walau hidupnya mapan ibarat gen z yg kerja bukan segalanya dan ud mulai sadar sama mental health.","1753683648426238364","","Homo_sapiens21","in","","0","1","2","https://twitter.com/Homo_sapiens21/status/1753683648426238364","210842691","Homo_sapiens21"
"1753628024870998074","Sat Feb 03 05:00:07 +0000 2024","1","@gadingnstn Bener banget ga fair dan ga realistis. Wajar aja Gen Z bnyk nganggur umur segini lg fasenya belajar sm cari kerja. Giliran loker banyaknya cari yg berpengalaman haduh.","1753644512134734105","","gadingnstn","in","Kota Palembang, Sumatera Selat","0","0","0","https://twitter.com/anggerique/status/1753644512134734105","1436307263975796767","anggerique"
"1753642516577243591","Sat Feb 03 04:52:11 +0000 2024","2"," saya gedeg sama milenial gen z sangat ga mau kerja 9-5 senin sampe jumat weekend dibutuhkan aja sambat minta ampun saya bingung sama bapak kok demen bgt kerja kaya u enjoy bgt dah jd budak korporat ","1753642516577243591","","","in","unair law two three","0","0","0","https://twitter.com/erbie_regnal/status/1753642516577243591","1209273696348557312","erbie_regnal"
"1753461647329620220","Sat Feb 03 03:01:55 +0000 2024","4","@herculep638 Bagi gen Z atau anak kuliahan yg dari keluarga berada mungkin masih bisa dimaklumi krn pengen save zone aja. Bagi yg buat bayar aja ortunya mesti kerja banting tulang nyari pinjeman sana sini. Ini baru namanya beneran sinting. #JanganGengsiDukungAmin #AMINAjaDulu","1753614767728812340","","herculep638","in","Tulungagung, Indonesia","0","0","0","https://twitter.com/PersetaAdi/status/1753614767728812340","1312573956344352769","PersetaAdi"
"1753614269277774285","Sat Feb 03 02:59:57 +0000 2024","0","konon katanya pendukung 02 banyak dari kalangan gen Z. 02 saat ini diendorse oleh pemerintah yg punya kewajiban menyediakan lapangan kerja. tapi gapapa yg penting aLL iN pr4bowO ","1753614269277774285","","","in","","0","0","0","https://twitter.com/am22ay09/status/1753614269277774285","1564863067204501504","am22ay09"
"1753376471429886261","Sat Feb 03 02:20:51 +0000 2024","0","@worksfess Kalau lihat kasus LUNA MAYA kemarin ya nggak kaget kenapa Gen Z masih banyak yg nganggur. Baru magang aja pada gitu gimana pas kerja beneran. ","1753604430635876507","","worksfess","in","","0","0","0","https://twitter.com/airoooo634/status/1753604430635876507","1637806514735042560","airoooo634"
"1753600147702034895","Sat Feb 03 02:03:50 +0000 2024","1","Kemnaker membuka ruang interaktif dan informatif untuk Gen Z dan milenial. Talkshow music showcase dan lomba stand up comedy siap menginspirasi para tenaga kerja muda. Catat tanggalnya: Sabtu 3 Februari 2024 di Pos Bloc Jakarta Pusat. #InfoKini https://t.co/n2llY8DfTj","1753600147702034895","","","in","Indonesia","0","0","0","https://twitter.com/TirtoID/status/1753600147702034895","4187275698","TirtoID"
"1753596552340512991","Sat Feb 03 01:49:32 +0000 2024","0","Melenial dan Gen Z Lotim akan Diberi Pelatihan Kerja Segera Daftar! https://t.co/b0qgDWWfzb","1753596552340512991","","","in","Nusa Tenggara Barat, Indonesia","0","0","1","https://twitter.com/IDNTimesNTB/status/1753596552340512991","1318858445940875264","IDNTimesNTB"
"1753593607393837098","Sat Feb 03 01:46:09 +0000 2024","0","@PakyanTabik kalo kamu gen z gak kerja tp kos-kos an mu di Bali berpuluh-puluh pintu. Hasilnya gak bakal abis kamu nikmati sendiri","1753595699302936698","","PakyanTabik","in","Denpasar, Bali","0","0","0","https://twitter.com/DDivianta24/status/1753595699302936698","2624075754","DDivianta24"
"1753446494840176860","Sat Feb 03 01:32:55 +0000 2024","0","@Jayabay19479190 Ini baru jiwa milenial dan gen z akan mengambil sikap bila suasana kerja jd toxic Fisik boleh tua tapi jiwa tidak","1753592370036408453","","Jayabay19479190","in","","0","0","0","https://twitter.com/Zpt4/status/1753592370036408453","242190384","Zpt4"
"1753576033847250998","Sat Feb 03 00:28:00 +0000 2024","1","Masuk akal. Soalnya mostly kita² para Gen Z baru pada kuliah atau baru tamat juga walaupun beberapa juga udah kerja.","1753576033847250998","","","in","Nusantara","0","1","0","https://twitter.com/princeofone/status/1753576033847250998","2860958618","princeofone"
